timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1719514243362,878,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,235568,12346,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/arts-and-culture/commission-diversity-public-realm/untold-stories-case-studies/art-everyday-life,490,0,364
1719514243362,491,Fetch Page-0,200,OK,Baseline 1VU 1-1,text,true,,24594,552,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/arts-and-culture/commission-diversity-public-realm/untold-stories-case-studies/art-everyday-life,490,0,364
1719514243988,49,Fetch Page-1,200,OK,Baseline 1VU 1-1,bin,true,,1411,498,1,1,https://lgov-perftest.london.gov.uk/themes/estate/gla_core_theme/dist/img/favicons/favicon-32x32.png,49,0,0
1719514243988,69,Fetch Page-2,200,OK,Baseline 1VU 1-1,bin,true,,1052,498,1,1,https://lgov-perftest.london.gov.uk/themes/estate/gla_core_theme/dist/img/favicons/favicon-16x16.png,68,0,39
1719514243990,75,Fetch Page-3,200,OK,Baseline 1VU 1-1,bin,true,,2579,492,1,1,https://lgov-perftest.london.gov.uk/themes/estate/gla_core_theme/dist/img/favicons/favicon.ico,75,0,36
1719514243992,104,Fetch Page-4,200,OK,Baseline 1VU 1-1,text,true,,8453,899,1,1,https://lgov-perftest.london.gov.uk/sites/default/files/css/css_htULHbDgZinm4V8y_SOZGolfT7E1TJjJhVBLkiZ6HyA.css?delta=0&language=en&theme=gla_core_theme&include=eJx9kdFuwyAMRX-IhOd9DXLAJe5IjGwnaf9-tJrWrUR7QMhHF99rE2mnGJk_CSOvJlx87NCH69mJbFQ0ozWrS2BQ4I7iJ5xhJxZ1uUCILBj2g307T1Ay7yHG6H8XI-8oQgn1H82Pl97VcPETKL48bMYF2wOeoLid8NDwyBTwVlnMd8QdOF1YFv99j4mgcHaZOZfWDrLPtvwtIb_XI1zh5ioIZIE6q0-yVSjji4zbWrepkM6YnmlRDax1EFi1gBGv_hy_z6ZVyLqJp82s10L7J0knTS50G5pF4oUU0_CYfKDUdoogcQ5QKcBmHHmpBa2ZnvMuW0s2zAgJ5QurWe9_,104,0,64
1719514243990,113,Fetch Page-5,200,OK,Baseline 1VU 1-1,text,true,,19697,899,1,1,https://lgov-perftest.london.gov.uk/sites/default/files/css/css_Zfcr9C2Qd6qGTdvhcp4C0ZAlg-8B807vWRgEQSX_wLs.css?delta=1&language=en&theme=gla_core_theme&include=eJx9kdFuwyAMRX-IhOd9DXLAJe5IjGwnaf9-tJrWrUR7QMhHF99rE2mnGJk_CSOvJlx87NCH69mJbFQ0ozWrS2BQ4I7iJ5xhJxZ1uUCILBj2g307T1Ay7yHG6H8XI-8oQgn1H82Pl97VcPETKL48bMYF2wOeoLid8NDwyBTwVlnMd8QdOF1YFv99j4mgcHaZOZfWDrLPtvwtIb_XI1zh5ioIZIE6q0-yVSjji4zbWrepkM6YnmlRDax1EFi1gBGv_hy_z6ZVyLqJp82s10L7J0knTS50G5pF4oUU0_CYfKDUdoogcQ5QKcBmHHmpBa2ZnvMuW0s2zAgJ5QurWe9_,113,0,69
1719514243993,147,Fetch Page-6,200,OK,Baseline 1VU 1-1,text,true,,3634,487,1,1,https://lgov-perftest.london.gov.uk/themes/estate/gla_core_theme/dist/modernizr.js?sfolbg,147,0,59
1719514244039,32,Fetch Page-7,200,OK,Baseline 1VU 1-1,text,true,,20560,500,1,1,https://lgov-perftest.london.gov.uk/themes/estate/gla_core_theme/libraries/alpinejs/dist/cdn.js?sfolbg,32,0,0
1719514244060,32,Fetch Page-8,200,OK,Baseline 1VU 1-1,text,true,,49887,538,1,1,https://lgov-perftest.london.gov.uk/modules/custom/lgov/gla_crisis_communication/gla-crisis-communication/dist/gla_crisis_communication.js?1,32,0,0
