Time,Unknown,Iterations,Duration,Rate,Avg,Min,Max,Err,Err%,Active,Started,Finished
19:51:01,858,4,00:00:24,0.2,480,263,878,0,0.00,1,1,0
19:51:34,099,6,00:00:32,0.2,223,85,487,0,0.00,1,1,0
19:52:04,087,6,00:00:30,0.2,281,209,434,1,16.67,1,1,0
19:52:34,173,6,00:00:30,0.2,149,74,221,0,0.00,1,1,0
19:53:04,035,6,00:00:30,0.2,181,93,455,0,0.00,1,1,0
19:53:33,559,6,00:00:30,0.2,198,113,302,0,0.00,1,1,0
19:54:03,958,6,00:00:30,0.2,152,91,287,0,0.00,1,1,0
19:54:31,684,5,00:00:28,0.2,317,77,950,0,0.00,1,1,0
19:55:00,895,6,00:00:29,0.2,119,79,226,0,0.00,1,1,0
19:55:32,244,6,00:00:31,0.2,178,103,261,0,0.00,1,1,0
19:56:04,608,6,00:00:32,0.2,208,104,372,0,0.00,1,1,0
19:56:33,212,5,00:00:29,0.2,200,136,302,0,0.00,1,1,0
19:57:00,296,5,00:00:27,0.2,205,71,427,0,0.00,1,1,0
19:57:31,893,6,00:00:32,0.2,146,73,269,0,0.00,1,1,0
19:58:01,623,6,00:00:30,0.2,206,133,298,1,16.67,1,1,0
19:58:32,146,6,00:00:31,0.2,223,82,401,0,0.00,1,1,0
19:59:03,942,6,00:00:32,0.2,133,85,201,0,0.00,1,1,0
19:59:30,291,5,00:00:26,0.2,183,81,377,0,0.00,1,1,0
20:00:01,073,6,00:00:31,0.2,127,83,205,0,0.00,1,1,0
20:00:33,043,6,00:00:32,0.2,186,88,364,0,0.00,1,1,0
20:00:46,541,3,00:00:13,0.2,227,114,397,0,0.00,0,1,1
