timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1719514243362,878,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,235568,12346,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/arts-and-culture/commission-diversity-public-realm/untold-stories-case-studies/art-everyday-life,490,0,364
1719514249201,501,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,297791,7468,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/environment-and-climate-change/climate-change/zero-carbon-london/london-climate-finance-facility/green-finance-fund/green-finance-fund-faqs,117,0,23
1719514255704,278,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,220871,8015,1,1,https://lgov-perftest.london.gov.uk/city-hall-blog/where-find-best-londons-culture-online,98,0,22
1719514261594,263,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,144798,6741,1,1,https://lgov-perftest.london.gov.uk/sorry-page-not-found,82,0,23
1719514267057,265,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,147543,6827,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/education-and-youth/education-and-youth-publications/lsef-teaching-resources/twyford,121,0,23
1719514272461,487,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,3859685,22707,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/research-and-analysis/webmaps-and-data-services,94,0,20
1719514278613,195,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,51129,1055,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/education-and-youth/london-curriculum/celebrate-london-history-day-2020,77,0,23
1719514283213,195,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,210480,7433,1,1,https://lgov-perftest.london.gov.uk/programmes-and-strategies/environment-and-climate-change/climate-change/london-climate-action-week-events/queen-elizabeth-olympic-park-green-cities-sustainability-tour,98,0,21
1719514288947,85,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,22782,564,1,1,https://lgov-perftest.london.gov.uk/who-we-are/city-halls-partners/old-oak-and-park-royal-development-corporation-opdc/opdc-structure-1/equity-diversity-and-inclusion,85,0,19
1719514293991,112,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,23636,537,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/communities-and-social-justice/help-cost-living/health-and-wellbeing/health-costs,112,0,19
