Time,Unknown,Iterations,Duration,Rate,Avg,Min,Max,Err,Err%,Active,Started,Finished
20:02:00,383,12,00:00:17,0.7,282,110,778,0,0.00,2,2,0
20:02:30,330,24,00:00:30,0.8,222,92,396,1,4.17,7,7,0
20:03:00,310,22,00:00:30,0.7,202,103,347,0,0.00,12,12,0
20:03:31,696,28,00:00:31,0.9,218,81,694,0,0.00,18,18,0
20:04:01,756,29,00:00:30,1.0,186,94,347,1,3.45,23,23,0
20:04:31,276,28,00:00:30,0.9,231,67,765,1,3.57,27,27,0
20:05:00,462,28,00:00:29,1.0,262,74,1799,1,3.57,32,32,0
20:05:30,106,29,00:00:30,1.0,221,78,412,0,0.00,37,37,0
20:06:00,948,36,00:00:31,1.2,267,70,1093,2,5.56,42,42,0
20:06:30,839,35,00:00:30,1.2,314,87,1335,1,2.86,47,47,0
20:07:01,409,37,00:00:31,1.2,287,68,846,0,0.00,52,52,0
20:07:30,103,35,00:00:29,1.2,243,65,913,1,2.86,57,57,0
20:08:00,514,40,00:00:30,1.3,250,70,1858,2,5.00,62,62,0
20:08:30,348,40,00:00:30,1.3,267,66,877,1,2.50,67,67,0
20:09:00,310,43,00:00:30,1.4,252,72,598,0,0.00,72,72,0
20:09:30,597,48,00:00:30,1.6,305,73,1768,2,4.17,77,77,0
20:10:00,207,55,00:00:30,1.9,245,57,1571,1,1.82,82,82,0
20:10:30,533,53,00:00:30,1.7,251,67,556,2,3.77,87,87,0
20:11:00,517,50,00:00:30,1.7,281,56,1388,2,4.00,92,92,0
20:11:30,168,56,00:00:30,1.9,200,56,1020,2,3.57,97,97,0
20:12:00,905,61,00:00:31,2.0,262,65,1385,1,1.64,102,102,0
20:12:30,202,63,00:00:29,2.2,250,59,1090,3,4.76,107,107,0
20:13:01,204,65,00:00:31,2.1,229,58,871,2,3.08,112,112,0
20:13:30,082,58,00:00:29,2.0,241,66,864,2,3.45,117,117,0
20:14:00,043,65,00:00:30,2.2,196,62,712,0,0.00,122,122,0
20:14:30,177,69,00:00:30,2.3,197,67,1763,1,1.45,127,127,0
20:15:00,426,74,00:00:30,2.4,207,61,858,2,2.70,132,132,0
20:15:30,243,62,00:00:30,2.1,190,55,769,3,4.84,137,137,0
20:16:00,634,77,00:00:30,2.5,192,62,921,0,0.00,142,142,0
20:16:30,455,79,00:00:30,2.6,180,64,736,2,2.53,147,147,0
20:17:00,096,82,00:00:30,2.8,169,58,685,3,3.66,152,152,0
20:17:31,421,84,00:00:31,2.7,180,57,762,2,2.38,157,157,0
20:18:00,390,82,00:00:29,2.8,175,60,621,5,6.10,162,162,0
20:18:30,283,85,00:00:30,2.8,191,55,1185,3,3.53,167,167,0
20:19:00,033,88,00:00:30,3.0,197,63,592,1,1.14,172,172,0
20:19:30,307,96,00:00:30,3.2,174,61,576,2,2.08,177,177,0
20:20:00,727,92,00:00:30,3.0,195,56,978,6,6.52,182,182,0
20:20:31,597,97,00:00:31,3.1,178,63,510,2,2.06,188,188,0
20:21:00,591,98,00:00:29,3.4,158,58,797,3,3.06,192,192,0
20:21:30,081,98,00:00:29,3.3,161,59,645,0,0.00,197,197,0
20:22:00,024,100,00:00:30,3.3,173,58,546,2,2.00,202,202,0
20:22:30,057,103,00:00:30,3.4,175,60,900,5,4.85,207,207,0
20:23:00,247,105,00:00:30,3.5,177,58,750,5,4.76,212,212,0
20:23:30,116,110,00:00:30,3.7,167,59,587,3,2.73,217,217,0
20:24:01,046,121,00:00:31,3.9,168,63,817,1,0.83,222,222,0
20:24:30,079,108,00:00:29,3.7,171,63,931,5,4.63,227,227,0
20:25:00,104,124,00:00:30,4.1,169,55,879,3,2.42,232,232,0
20:25:30,683,117,00:00:31,3.8,152,60,615,1,0.85,237,237,0
20:26:00,870,116,00:00:30,3.8,182,59,3329,3,2.59,242,242,0
20:26:30,508,128,00:00:30,4.3,161,55,609,7,5.47,247,247,0
20:27:00,020,127,00:00:30,4.3,159,55,721,5,3.94,252,252,0
20:27:30,049,128,00:00:30,4.3,156,55,671,3,2.34,257,257,0
20:28:00,663,135,00:00:31,4.4,148,56,587,4,2.96,262,262,0
20:28:30,393,130,00:00:30,4.4,155,60,409,5,3.85,267,267,0
20:29:00,442,143,00:00:30,4.8,157,54,779,3,2.10,272,272,0
20:29:30,270,139,00:00:30,4.7,161,54,1143,3,2.16,277,277,0
20:30:00,527,139,00:00:30,4.6,149,59,525,5,3.60,282,282,0
20:30:30,682,147,00:00:30,4.9,153,56,671,6,4.08,287,287,0
20:31:01,365,144,00:00:31,4.7,159,55,940,3,2.08,292,292,0
20:31:30,019,153,00:00:29,5.3,162,57,905,4,2.61,297,297,0
20:32:00,086,155,00:00:30,5.2,174,56,736,2,1.29,300,300,0
20:32:30,216,151,00:00:30,5.0,158,58,518,2,1.32,300,300,0
20:33:00,375,154,00:00:30,5.1,150,59,945,3,1.95,300,300,0
20:33:30,016,135,00:00:30,4.6,149,57,863,5,3.70,300,300,0
20:34:00,187,165,00:00:30,5.5,141,58,568,8,4.85,300,300,0
20:34:30,445,158,00:00:30,5.2,143,55,705,4,2.53,300,300,0
20:35:00,256,153,00:00:30,5.1,151,53,649,7,4.58,300,300,0
20:35:30,531,171,00:00:30,5.6,154,55,621,4,2.34,300,300,0
20:36:00,220,155,00:00:30,5.2,143,55,934,4,2.58,300,300,0
20:36:30,990,159,00:00:31,5.2,145,55,667,4,2.52,300,300,0
20:37:00,035,169,00:00:29,5.8,146,52,560,5,2.96,300,300,0
20:37:30,282,170,00:00:30,5.6,143,57,594,4,2.35,300,300,0
20:38:00,276,175,00:00:30,5.8,327,58,20299,6,3.43,300,300,0
20:38:30,804,181,00:00:31,5.9,258,54,20408,7,3.87,300,300,0
20:39:00,470,177,00:00:30,6.0,128,56,470,1,0.56,300,300,0
20:39:30,088,171,00:00:30,5.8,134,56,747,8,4.68,300,300,0
20:40:00,421,194,00:00:30,6.4,141,55,849,8,4.12,300,300,0
20:40:30,388,190,00:00:30,6.3,156,54,925,4,2.11,300,300,0
20:41:00,165,187,00:00:30,6.3,143,54,613,5,2.67,300,300,0
20:41:30,329,193,00:00:30,6.4,151,59,3155,1,0.52,300,300,0
20:42:00,117,201,00:00:30,6.7,139,51,949,9,4.48,300,300,0
20:42:30,034,201,00:00:30,6.7,137,52,516,6,2.99,300,300,0
20:43:00,255,191,00:00:30,6.3,129,54,618,6,3.14,300,300,0
20:43:30,249,206,00:00:30,6.9,140,56,683,2,0.97,300,300,0
20:44:00,189,207,00:00:30,6.9,140,55,917,6,2.90,300,300,0
20:44:30,026,206,00:00:30,6.9,138,55,877,9,4.37,300,300,0
20:45:00,206,209,00:00:30,6.9,133,55,899,5,2.39,300,300,0
20:45:30,324,221,00:00:30,7.3,133,55,643,3,1.36,300,300,0
20:46:00,032,227,00:00:30,7.6,134,54,714,6,2.64,300,300,0
20:46:30,301,215,00:00:30,7.1,141,52,639,7,3.26,300,300,0
20:47:00,145,226,00:00:30,7.6,137,51,782,9,3.98,300,300,0
20:47:30,336,220,00:00:30,7.3,132,54,687,7,3.18,300,300,0
20:48:00,101,217,00:00:30,7.3,138,53,549,5,2.30,300,300,0
20:48:30,109,226,00:00:30,7.5,133,56,831,8,3.54,300,300,0
20:49:00,536,237,00:00:30,7.8,137,54,837,8,3.38,300,300,0
20:49:30,522,238,00:00:30,7.9,146,53,3140,6,2.52,300,300,0
20:50:00,476,233,00:00:30,7.8,135,53,620,5,2.15,300,300,0
20:50:30,007,245,00:00:30,8.3,132,55,837,6,2.45,300,300,0
20:51:00,007,230,00:00:30,7.7,130,54,545,9,3.91,300,300,0
20:51:30,074,236,00:00:30,7.8,129,54,603,6,2.54,300,300,0
20:52:00,150,237,00:00:30,7.9,141,53,789,7,2.95,300,300,0
