Time,Unknown,Iterations,Duration,Rate,Avg,Min,Max,Err,Err%,Active,Started,Finished
15:47:01,014,8,00:00:49,0.2,1239,139,1694,0,0.00,1,1,0
15:47:34,264,5,00:00:33,0.2,1566,1358,1729,0,0.00,1,1,0
15:48:00,947,4,00:00:27,0.1,1469,1330,1579,0,0.00,1,1,0
15:48:34,051,5,00:00:33,0.2,1387,1298,1568,0,0.00,1,1,0
15:49:00,417,4,00:00:26,0.2,1465,1302,1575,0,0.00,1,1,0
15:49:35,283,5,00:00:35,0.1,1589,1232,1982,0,0.00,1,1,0
15:50:01,627,4,00:00:26,0.2,1381,1107,1595,0,0.00,1,1,0
15:50:34,664,5,00:00:33,0.2,1292,969,1545,0,0.00,1,1,0
15:51:02,125,4,00:00:27,0.1,1450,1332,1627,0,0.00,1,1,0
15:51:32,860,5,00:00:31,0.2,1556,1299,1823,0,0.00,1,1,0
15:52:04,955,5,00:00:32,0.2,1509,1228,2209,0,0.00,1,1,0
15:52:32,091,4,00:00:27,0.1,1402,952,1908,0,0.00,1,1,0
15:53:03,234,5,00:00:31,0.2,1278,1135,1425,0,0.00,1,1,0
15:53:33,427,5,00:00:30,0.2,1421,1339,1563,0,0.00,1,1,0
15:54:04,028,5,00:00:31,0.2,1195,1020,1442,0,0.00,1,1,0
15:55:01,184,9,00:00:57,0.2,1630,1115,2616,0,0.00,1,1,0
15:55:34,981,5,00:00:34,0.1,1590,1441,1787,0,0.00,1,1,0
15:56:00,935,4,00:00:26,0.2,1453,1356,1541,0,0.00,1,1,0
15:56:20,649,3,00:00:20,0.2,1750,1607,1969,0,0.00,0,1,1
