timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1719585976503,911,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,264469,14363,1,1,https://lgov-perftest.london.gov.uk/search?query=ash,474,0,327
1719585982152,139,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,30178,996,1,1,https://lgov-perftest.london.gov.uk/search?query=sales,90,0,23
1719585987918,1334,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,172699,8588,1,1,https://lgov-perftest.london.gov.uk/search?query=utilities,1078,0,24
1719585994689,1694,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,52693,3681,1,1,https://lgov-perftest.london.gov.uk/search?query=waste,1421,0,27
1719586001371,1304,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,69452,4311,1,1,https://lgov-perftest.london.gov.uk/search?query=pick,1151,0,20
1719586007097,1532,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,94998,4872,1,1,https://lgov-perftest.london.gov.uk/search?query=growth,1152,0,21
1719586013390,1432,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,46927,2609,1,1,https://lgov-perftest.london.gov.uk/search?query=geographic,1314,0,19
1719586019453,1570,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,43907,2611,1,1,https://lgov-perftest.london.gov.uk/search?query=feedback,1089,0,22
1719586026270,1723,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,96151,4891,1,1,https://lgov-perftest.london.gov.uk/search?query=child,1416,0,20
1719586033403,1652,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,94017,4874,1,1,https://lgov-perftest.london.gov.uk/search?query=rss,1319,0,19
1719586039263,1370,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,62758,4308,1,1,https://lgov-perftest.london.gov.uk/search?query=founder,1012,0,21
1719586045820,1729,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,41632,2113,1,1,https://lgov-perftest.london.gov.uk/search?query=structure,1450,0,24
1719586052919,1358,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,37739,2050,1,1,https://lgov-perftest.london.gov.uk/search?query=kingdom,1160,0,20
1719586060222,1330,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,43909,2568,1,1,https://lgov-perftest.london.gov.uk/search?query=policy,1200,0,21
1719586066478,1574,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,79931,2118,1,1,https://lgov-perftest.london.gov.uk/search?query=canary,1432,0,20
1719586072918,1395,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,38830,2055,1,1,https://lgov-perftest.london.gov.uk/search?query=southall,1271,0,18
1719586079371,1579,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,69541,5368,1,1,https://lgov-perftest.london.gov.uk/search?query=applications,1406,0,18
1719586086230,1568,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,32548,993,1,1,https://lgov-perftest.london.gov.uk/search?query=activity,1486,0,19
1719586093273,1298,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,88212,3715,1,1,https://lgov-perftest.london.gov.uk/search?query=thamesmead,1047,0,22
1719586099489,1311,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,25347,452,1,1,https://lgov-perftest.london.gov.uk/search?query=track,1310,0,26
1719586105366,1402,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,39495,2070,1,1,https://lgov-perftest.london.gov.uk/search?query=gyratory,1272,0,21
1719586112693,1358,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,38300,1562,1,1,https://lgov-perftest.london.gov.uk/search?query=ward,1246,0,19
1719586119111,1496,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,101984,5455,1,1,https://lgov-perftest.london.gov.uk/search?query=hospital,1060,0,20
1719586125774,1489,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,53423,3142,1,1,https://lgov-perftest.london.gov.uk/search?query=farm,1379,0,20
1719586132462,1575,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,53101,3688,1,1,https://lgov-perftest.london.gov.uk/search?query=badenoch,1354,0,23
1719586139122,1302,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,27671,1010,1,1,https://lgov-perftest.london.gov.uk/search?query=onkar,1224,0,21
1719586145257,1580,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,46825,3208,1,1,https://lgov-perftest.london.gov.uk/search?query=harrow,1308,0,25
1719586152476,1232,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,48304,3169,1,1,https://lgov-perftest.london.gov.uk/search?query=headstart,975,0,18
1719586159161,1781,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,51134,2618,1,1,https://lgov-perftest.london.gov.uk/search?query=colour,1319,0,18
1719586166583,1370,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,91084,4271,1,1,https://lgov-perftest.london.gov.uk/search?query=fact,1229,0,24
1719586173309,1982,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,59618,4846,1,1,https://lgov-perftest.london.gov.uk/search?query=garages,1343,0,20
1719586180712,1595,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,34379,1519,1,1,https://lgov-perftest.london.gov.uk/search?query=entry,1344,0,25
1719586187168,1275,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,41621,2072,1,1,https://lgov-perftest.london.gov.uk/search?query=berkeley,1036,0,23
1719586193935,1107,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,88860,2603,1,1,https://lgov-perftest.london.gov.uk/search?query=ruislip,993,0,20
1719586200091,1550,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,79369,2590,1,1,https://lgov-perftest.london.gov.uk/search?query=hopper,1400,0,18
1719586206992,1415,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,62835,2056,1,1,https://lgov-perftest.london.gov.uk/search?query=plc,1281,0,20
1719586214635,1422,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,31807,1001,1,1,https://lgov-perftest.london.gov.uk/search?query=damaging,1345,0,21
1719586220850,969,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,23553,452,1,1,https://lgov-perftest.london.gov.uk/search?query=navin,969,0,21
1719586227007,1110,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,45483,2668,1,1,https://lgov-perftest.london.gov.uk/search?query=emphasis,1010,0,18
1719586233119,1545,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,54307,3181,1,1,https://lgov-perftest.london.gov.uk/search?query=businesses,1292,0,26
1719586240491,1627,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,64677,2701,1,1,https://lgov-perftest.london.gov.uk/search?query=employers,1363,0,18
1719586247225,1332,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,68040,2707,1,1,https://lgov-perftest.london.gov.uk/search?query=vauxhall,1224,0,19
1719586254135,1453,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,48031,2596,1,1,https://lgov-perftest.london.gov.uk/search?query=relations,1197,0,18
1719586260735,1391,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,32717,1545,1,1,https://lgov-perftest.london.gov.uk/search?query=nppf,1274,0,20
1719586266839,1349,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,39540,2063,1,1,https://lgov-perftest.london.gov.uk/search?query=underground,1117,0,24
1719586272477,1823,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,52823,3182,1,1,https://lgov-perftest.london.gov.uk/search?query=stations,1235,0,19
1719586279468,1299,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,39197,1559,1,1,https://lgov-perftest.london.gov.uk/search?query=acts,1209,0,19
1719586285691,1701,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,58869,4280,1,1,https://lgov-perftest.london.gov.uk/search?query=budget,1459,0,20
1719586291252,1612,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,34007,1554,1,1,https://lgov-perftest.london.gov.uk/search?query=race,1357,0,20
1719586297119,1486,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,32321,984,1,1,https://lgov-perftest.london.gov.uk/search?query=shop,1404,0,18
1719586304055,1228,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,31636,984,1,1,https://lgov-perftest.london.gov.uk/search?query=disposal,1146,0,23
1719586310438,1299,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,41637,2054,1,1,https://lgov-perftest.london.gov.uk/search?query=covent,996,0,25
1719586316792,1325,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,50858,3234,1,1,https://lgov-perftest.london.gov.uk/search?query=intern,1061,0,19
1719586322745,2209,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,96661,4204,1,1,https://lgov-perftest.london.gov.uk/search?query=fun,1610,0,17
1719586329825,1908,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,46278,2634,1,1,https://lgov-perftest.london.gov.uk/search?query=government,1484,0,23
1719586337446,952,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,23631,452,1,1,https://lgov-perftest.london.gov.uk/search?query=alert,952,0,22
1719586343549,1458,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,108212,2043,1,1,https://lgov-perftest.london.gov.uk/search?query=firms,1353,0,23
1719586350811,1293,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,47640,3167,1,1,https://lgov-perftest.london.gov.uk/search?query=barnet,1000,0,19
1719586358018,1154,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,54296,1559,1,1,https://lgov-perftest.london.gov.uk/search?query=science,1042,0,28
1719586363251,1340,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,29413,991,1,1,https://lgov-perftest.london.gov.uk/search?query=landfill,1252,0,19
1719586369781,1425,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,97390,3673,1,1,https://lgov-perftest.london.gov.uk/search?query=quality,1159,0,24
