Time,Unknown,Iterations,Duration,Rate,Avg,Min,Max,Err,Err%,Active,Started,Finished
16:46:00,142,4,00:00:12,0.3,1283,987,1851,0,0.00,1,1,0
16:46:30,183,30,00:00:30,1.0,1112,684,1414,0,0.00,6,6,0
16:47:00,623,32,00:00:30,1.1,1132,841,1727,0,0.00,11,11,0
16:47:30,659,35,00:00:30,1.2,1340,785,2256,0,0.00,17,17,0
16:48:00,238,38,00:00:30,1.3,1548,838,6213,0,0.00,21,21,0
16:48:30,413,40,00:00:30,1.3,1436,1075,2368,0,0.00,26,26,0
16:49:01,008,42,00:00:31,1.4,1456,930,2704,0,0.00,32,32,0
16:49:30,023,37,00:00:29,1.3,1428,923,2281,0,0.00,36,36,0
16:50:00,802,45,00:00:31,1.5,1388,1009,2122,0,0.00,42,42,0
16:50:30,139,42,00:00:29,1.4,1454,981,2080,0,0.00,46,46,0
16:51:00,870,49,00:00:31,1.6,1349,961,1877,0,0.00,52,52,0
16:51:31,011,55,00:00:30,1.8,1431,948,2729,0,0.00,57,57,0
16:52:00,338,54,00:00:29,1.8,1418,890,2769,0,0.00,61,61,0
16:52:30,490,58,00:00:30,1.9,1380,828,2520,0,0.00,66,66,0
16:53:00,506,59,00:00:30,2.0,1396,922,2484,0,0.00,71,71,0
16:53:30,664,65,00:00:30,2.2,1300,922,1678,0,0.00,77,77,0
16:54:00,586,63,00:00:30,2.1,1359,919,2508,0,0.00,81,81,0
16:54:30,077,70,00:00:29,2.4,1400,882,2243,0,0.00,86,86,0
16:55:00,087,68,00:00:30,2.3,1351,905,2299,0,0.00,91,91,0
16:55:30,153,72,00:00:30,2.4,1359,920,2468,0,0.00,96,96,0
16:56:00,124,68,00:00:30,2.3,1329,768,2345,0,0.00,101,101,0
16:56:30,138,71,00:00:30,2.4,1294,928,2368,0,0.00,106,106,0
16:57:00,122,81,00:00:30,2.7,1322,835,2370,0,0.00,111,111,0
16:57:30,015,75,00:00:30,2.5,1339,926,6401,0,0.00,116,116,0
